seed,gen_0,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41,gen_42,gen_43,gen_44,gen_45,gen_46,gen_47,gen_48,gen_49,gen_50,gen_51,gen_52,gen_53,gen_54,gen_55,gen_56,gen_57,gen_58,gen_59,gen_60,gen_61,gen_62,gen_63,gen_64,gen_65,gen_66,gen_67,gen_68,gen_69,gen_70,gen_71,gen_72,gen_73,gen_74,gen_75,gen_76,gen_77,gen_78,gen_79,gen_80,gen_81,gen_82,gen_83,gen_84,gen_85,gen_86,gen_87,gen_88,gen_89,gen_90,gen_91,gen_92,gen_93,gen_94,gen_95,gen_96,gen_97,gen_98,gen_99,gen_100
0,0.501059,0.489356,0.472149,0.450360,0.417855,0.404949,0.374816,0.346044,0.320980,0.304707,0.283521,0.268400,0.265018,0.248905,0.226337,0.205618,0.203149,0.190958,0.176865,0.143699,0.132099,0.131721,0.127166,0.124808,0.120996,0.125170,0.122154,0.118269,0.117798,0.117364,0.112717,0.108628,0.100238,0.100624,0.096539,0.089384,0.092469,0.089642,0.083511,0.069400,0.068287,0.064535,0.062608,0.070933,0.069735,0.068705,0.065127,0.068939,0.065871,0.066848,0.061044,0.064626,0.062945,0.057861,0.057168,0.059166,0.052497,0.047384,0.044123,0.039630,0.043691,0.042945,0.038543,0.036572,0.040380,0.041966,0.040729,0.041380,0.038055,0.036758,0.040921,0.042212,0.040877,0.036158,0.040412,0.040636,0.038400,0.038158,0.033222,0.031590,0.031154,0.038479,0.038275,0.033600,0.036699,0.031457,0.033192,0.033164,0.033986,0.038149,0.038667,0.043293,0.041671,0.041089,0.040481,0.041600,0.035925,0.034293,0.034016,0.038145,0.034669
1,0.499992,0.490271,0.468907,0.445077,0.416147,0.379285,0.348669,0.308073,0.288685,0.269438,0.253287,0.223168,0.220238,0.215329,0.199343,0.189897,0.187448,0.185259,0.183434,0.174451,0.168489,0.155861,0.141877,0.129871,0.118760,0.113974,0.107463,0.105442,0.111115,0.106822,0.100398,0.087222,0.080479,0.079913,0.071782,0.068139,0.069329,0.074648,0.076143,0.080558,0.080949,0.085046,0.080034,0.077667,0.069327,0.062556,0.059893,0.063210,0.059541,0.057422,0.056517,0.055808,0.054893,0.046655,0.050317,0.050259,0.051709,0.048018,0.043747,0.039958,0.042000,0.041176,0.038834,0.036636,0.039776,0.039354,0.039760,0.042251,0.043592,0.042539,0.039851,0.040109,0.044758,0.043325,0.038505,0.042327,0.043592,0.041416,0.040281,0.037614,0.035360,0.038943,0.035913,0.030764,0.029463,0.028463,0.031234,0.033477,0.032301,0.030170,0.035101,0.037442,0.033432,0.031077,0.035188,0.035739,0.032566,0.032293,0.030600,0.035087,0.038489
2,0.500422,0.489743,0.463897,0.431121,0.410135,0.379679,0.327333,0.304796,0.270998,0.244196,0.216663,0.202980,0.188285,0.175810,0.167509,0.162901,0.156859,0.153257,0.153689,0.137154,0.131255,0.125418,0.127360,0.124768,0.112909,0.109305,0.098230,0.086044,0.073018,0.070406,0.066257,0.062289,0.068121,0.068980,0.071194,0.065178,0.063741,0.057117,0.047592,0.052477,0.046143,0.046630,0.051430,0.051267,0.050491,0.048507,0.048459,0.045010,0.041879,0.043220,0.045077,0.047855,0.044651,0.041026,0.042374,0.041390,0.044026,0.046610,0.051830,0.051539,0.048675,0.044947,0.040770,0.033933,0.036594,0.038190,0.038576,0.037729,0.038024,0.035768,0.040588,0.038705,0.042962,0.043224,0.038824,0.041768,0.038935,0.039747,0.041513,0.034273,0.035638,0.031285,0.036095,0.040608,0.038034,0.042174,0.040760,0.036529,0.038376,0.037764,0.042057,0.038675,0.035834,0.033832,0.035006,0.034695,0.036426,0.042867,0.040966,0.046174,0.042202
3,0.499970,0.487636,0.459099,0.423469,0.382743,0.345378,0.323394,0.316499,0.291972,0.279596,0.264139,0.257990,0.248075,0.231402,0.210976,0.196980,0.195469,0.186008,0.178440,0.165232,0.156810,0.148111,0.143311,0.139123,0.134776,0.132469,0.121188,0.113059,0.114166,0.114677,0.115059,0.103410,0.097337,0.098107,0.091354,0.083192,0.078210,0.072020,0.072891,0.073855,0.074008,0.070022,0.074244,0.075994,0.072697,0.065519,0.066014,0.060915,0.055626,0.049087,0.049343,0.045768,0.043145,0.041560,0.036465,0.032341,0.031448,0.037618,0.038782,0.036016,0.040339,0.043838,0.041438,0.042143,0.042590,0.042667,0.043677,0.038808,0.035976,0.038956,0.035238,0.037626,0.035531,0.043770,0.039802,0.038653,0.045545,0.042137,0.034634,0.034768,0.035200,0.032194,0.030469,0.030202,0.029737,0.030566,0.035376,0.032410,0.034204,0.033380,0.032661,0.035356,0.030756,0.031820,0.033535,0.035663,0.032651,0.034752,0.032176,0.038519,0.033057
4,0.500303,0.486141,0.462939,0.433202,0.409224,0.371679,0.335659,0.310826,0.293020,0.240087,0.234602,0.222693,0.218885,0.204802,0.183210,0.186414,0.177626,0.165780,0.160321,0.146200,0.142842,0.145216,0.145299,0.144586,0.130234,0.126390,0.121705,0.114057,0.114846,0.115624,0.114147,0.109954,0.097980,0.088158,0.078917,0.078501,0.071733,0.059897,0.062917,0.063915,0.063564,0.061503,0.059321,0.058923,0.057851,0.062297,0.060931,0.058588,0.056139,0.051362,0.053378,0.049558,0.045776,0.042976,0.038834,0.036081,0.038853,0.040133,0.039685,0.036925,0.035543,0.041958,0.041766,0.044093,0.039972,0.033515,0.033347,0.034756,0.035281,0.031135,0.033562,0.034160,0.030525,0.032893,0.033622,0.035588,0.031006,0.033513,0.031285,0.032832,0.031364,0.032188,0.031909,0.032828,0.035792,0.036727,0.036121,0.034598,0.041127,0.037420,0.040309,0.041028,0.039444,0.043174,0.036232,0.036113,0.035079,0.036659,0.032836,0.033838,0.031360
5,0.500190,0.488982,0.466937,0.447178,0.416398,0.399208,0.369311,0.344848,0.311085,0.272408,0.253713,0.256754,0.242949,0.212404,0.215497,0.200875,0.189879,0.183846,0.184188,0.182061,0.177949,0.167644,0.164046,0.153180,0.146737,0.129768,0.119493,0.116774,0.111669,0.094463,0.077196,0.073257,0.076014,0.079216,0.081075,0.077172,0.069309,0.066115,0.066168,0.065465,0.063440,0.052766,0.050891,0.054954,0.053832,0.047356,0.046705,0.043949,0.036200,0.036388,0.037220,0.032588,0.029044,0.034289,0.033172,0.034739,0.031780,0.031980,0.034487,0.035602,0.034828,0.035665,0.035358,0.035729,0.038079,0.037123,0.037782,0.033380,0.033531,0.033644,0.038463,0.041675,0.037632,0.038418,0.034040,0.036503,0.037566,0.039374,0.035313,0.031485,0.034368,0.031798,0.037679,0.031261,0.031749,0.028139,0.029800,0.034016,0.034004,0.034804,0.032293,0.034111,0.035699,0.036034,0.037901,0.037345,0.031733,0.032721,0.032988,0.032374,0.033317
6,0.501442,0.487814,0.467137,0.454628,0.436135,0.405010,0.379556,0.345788,0.315687,0.270636,0.248204,0.221475,0.213339,0.202699,0.196244,0.186376,0.172549,0.155063,0.147626,0.128600,0.121907,0.118566,0.114699,0.107984,0.095782,0.087844,0.090846,0.091937,0.089313,0.081267,0.086251,0.084051,0.085960,0.092281,0.086352,0.082846,0.075358,0.059960,0.057857,0.061073,0.060016,0.058315,0.056113,0.053002,0.049303,0.045234,0.042899,0.038941,0.035869,0.035889,0.034360,0.037313,0.038212,0.034475,0.031097,0.031810,0.030721,0.034719,0.035756,0.040489,0.041416,0.035998,0.032733,0.035824,0.034234,0.039228,0.042584,0.041505,0.035317,0.034139,0.034893,0.031820,0.032471,0.037465,0.040131,0.040499,0.038135,0.037949,0.042648,0.041590,0.040210,0.039822,0.037416,0.038008,0.038992,0.035598,0.039236,0.038386,0.039301,0.033949,0.033947,0.034339,0.036691,0.034356,0.035339,0.036990,0.038681,0.038002,0.038586,0.037372,0.039578
7,0.499323,0.491333,0.469527,0.439325,0.408752,0.381261,0.348204,0.330784,0.321760,0.300776,0.260364,0.241139,0.224937,0.218481,0.202422,0.193046,0.185105,0.178426,0.176564,0.166966,0.164444,0.165818,0.151111,0.144709,0.142584,0.134083,0.132568,0.124499,0.119057,0.111828,0.102305,0.091253,0.083943,0.085703,0.084511,0.085046,0.085277,0.085608,0.083851,0.082265,0.078695,0.079729,0.085624,0.084776,0.079075,0.071915,0.065253,0.064455,0.060554,0.053364,0.053552,0.051432,0.048461,0.048366,0.043830,0.042754,0.040010,0.036412,0.039709,0.040614,0.040701,0.038123,0.037604,0.041158,0.043533,0.039339,0.030673,0.030398,0.031113,0.033158,0.029194,0.029901,0.031008,0.036018,0.037685,0.034216,0.035099,0.033497,0.031626,0.034032,0.032782,0.033840,0.033444,0.033653,0.035733,0.038566,0.038459,0.036430,0.034097,0.033903,0.036095,0.029521,0.028703,0.027683,0.029370,0.031570,0.038123,0.034681,0.034661,0.039580,0.033016
8,0.499871,0.492614,0.465911,0.435929,0.405370,0.346727,0.316687,0.304996,0.288806,0.263307,0.244081,0.227307,0.221523,0.212085,0.204448,0.197281,0.194780,0.172166,0.155541,0.150436,0.147830,0.140036,0.130749,0.120065,0.110596,0.108024,0.102515,0.090105,0.085552,0.084418,0.081994,0.075073,0.068752,0.066046,0.062947,0.065947,0.066390,0.065392,0.063632,0.062446,0.057731,0.051315,0.048659,0.047602,0.043976,0.048921,0.051762,0.050952,0.051745,0.053770,0.051859,0.048364,0.048129,0.048384,0.049248,0.044305,0.048705,0.048455,0.046533,0.042604,0.042242,0.039277,0.041366,0.037016,0.036549,0.031733,0.033737,0.034851,0.034107,0.033572,0.029754,0.029079,0.028176,0.031814,0.028566,0.035077,0.030370,0.028455,0.024756,0.033236,0.036931,0.032679,0.034695,0.030685,0.031754,0.035764,0.034608,0.033489,0.032255,0.027764,0.032937,0.030937,0.031444,0.027582,0.033024,0.033329,0.036495,0.030693,0.027442,0.029022,0.029618
9,0.500739,0.489418,0.466572,0.430853,0.400721,0.344651,0.297844,0.251505,0.204436,0.183596,0.153125,0.154566,0.158018,0.153200,0.156020,0.150937,0.147846,0.143339,0.135996,0.123432,0.112010,0.113305,0.110756,0.102325,0.100343,0.090376,0.081788,0.079667,0.070277,0.077287,0.081133,0.082657,0.083105,0.081812,0.077273,0.069865,0.068877,0.067806,0.066669,0.061927,0.057051,0.051556,0.051394,0.049689,0.044984,0.051358,0.047238,0.044051,0.048451,0.045899,0.045857,0.046747,0.046297,0.047610,0.042723,0.041216,0.043228,0.042069,0.039903,0.036580,0.037253,0.036364,0.037438,0.036487,0.038901,0.035952,0.037061,0.033487,0.036022,0.032909,0.033248,0.034200,0.035214,0.034509,0.034277,0.032657,0.031905,0.030758,0.031931,0.032180,0.028606,0.031913,0.036695,0.035388,0.036768,0.036214,0.038802,0.038535,0.039400,0.038792,0.037883,0.035097,0.033156,0.032669,0.028030,0.028307,0.035952,0.036899,0.033596,0.027863,0.032206
10,0.499578,0.489105,0.447931,0.404879,0.374305,0.346737,0.331368,0.308824,0.284899,0.249588,0.237859,0.227556,0.217349,0.207655,0.197018,0.205024,0.198503,0.190105,0.186291,0.180259,0.170838,0.149000,0.143657,0.143723,0.137875,0.128315,0.112489,0.096119,0.093339,0.098808,0.095572,0.089341,0.082453,0.083311,0.078182,0.074204,0.070372,0.065438,0.072267,0.064208,0.064859,0.061095,0.060489,0.064661,0.062279,0.064119,0.063778,0.059143,0.056204,0.053685,0.050832,0.042418,0.045143,0.048382,0.042859,0.041885,0.038988,0.047123,0.046529,0.047848,0.049044,0.043887,0.042410,0.045410,0.039943,0.040919,0.037059,0.034931,0.037741,0.039812,0.041234,0.041966,0.046147,0.043693,0.048364,0.045156,0.040420,0.036958,0.038978,0.039418,0.044097,0.043404,0.044675,0.045386,0.045618,0.046905,0.045291,0.046345,0.045455,0.048042,0.043871,0.041026,0.039481,0.036564,0.031824,0.031362,0.029558,0.033697,0.030651,0.029111,0.025604
11,0.499394,0.485679,0.465319,0.443545,0.427168,0.395517,0.375723,0.340321,0.327857,0.309994,0.292438,0.279556,0.252184,0.238945,0.223903,0.216145,0.199422,0.183446,0.174436,0.166867,0.153776,0.140174,0.121818,0.116966,0.105079,0.104630,0.097511,0.100836,0.094998,0.093816,0.086024,0.082927,0.086000,0.086424,0.092109,0.090394,0.093935,0.097992,0.101257,0.102497,0.095824,0.091834,0.088095,0.082745,0.081499,0.077341,0.075133,0.061949,0.061848,0.063246,0.061754,0.065184,0.058776,0.054162,0.046822,0.044156,0.045996,0.043683,0.043115,0.039782,0.036842,0.037046,0.034166,0.037879,0.037459,0.036075,0.039073,0.040230,0.037790,0.041471,0.041335,0.041333,0.043707,0.039990,0.036927,0.038034,0.035986,0.036238,0.037461,0.038499,0.035299,0.035547,0.031309,0.033265,0.031420,0.035580,0.033408,0.033335,0.037065,0.039307,0.033768,0.033440,0.034566,0.036319,0.039905,0.039857,0.038564,0.038321,0.039473,0.039776,0.037832
12,0.499067,0.484109,0.451745,0.413685,0.398760,0.376154,0.320212,0.277240,0.238176,0.226479,0.213541,0.212822,0.195905,0.182428,0.180038,0.184513,0.176501,0.163065,0.160400,0.162065,0.153248,0.143655,0.135255,0.130028,0.127663,0.121305,0.107725,0.104089,0.100224,0.094956,0.088758,0.088422,0.083152,0.082069,0.079915,0.082509,0.077309,0.072808,0.074754,0.068768,0.062442,0.060046,0.056263,0.057552,0.056895,0.051612,0.048204,0.049939,0.048988,0.049396,0.050743,0.052226,0.048224,0.037109,0.034129,0.031487,0.029766,0.028343,0.026368,0.030022,0.030475,0.031964,0.036614,0.037234,0.039826,0.038865,0.041085,0.035917,0.033315,0.033479,0.035861,0.033481,0.029891,0.035016,0.030687,0.030582,0.035608,0.037141,0.036568,0.038691,0.037349,0.040897,0.041190,0.042901,0.041048,0.035958,0.045228,0.041010,0.043853,0.039107,0.042976,0.042895,0.044184,0.048384,0.043438,0.041889,0.040139,0.041107,0.045301,0.043984,0.035174
13,0.500671,0.490931,0.469917,0.441418,0.405970,0.367642,0.336689,0.252133,0.225612,0.223253,0.222713,0.216192,0.199685,0.187826,0.172325,0.150158,0.121588,0.120301,0.122111,0.122782,0.119063,0.110105,0.112430,0.100851,0.090483,0.090539,0.086992,0.085956,0.092246,0.095287,0.093079,0.096709,0.093707,0.089309,0.077204,0.078875,0.075923,0.075200,0.077212,0.071667,0.071602,0.066275,0.055806,0.056612,0.056683,0.055107,0.055927,0.058190,0.055176,0.054606,0.051345,0.047543,0.042834,0.045418,0.045473,0.046182,0.041535,0.039996,0.039947,0.043970,0.037251,0.040960,0.042867,0.039739,0.041152,0.040826,0.035200,0.034432,0.034212,0.032004,0.034925,0.030992,0.032600,0.038521,0.039224,0.041347,0.037964,0.036816,0.038707,0.040598,0.044218,0.041026,0.039469,0.034772,0.037077,0.038949,0.039323,0.041257,0.040566,0.037853,0.033586,0.034731,0.035879,0.038644,0.040313,0.042442,0.045170,0.044725,0.042931,0.048572,0.043024
