seed,gen_0,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41,gen_42,gen_43,gen_44,gen_45,gen_46,gen_47,gen_48,gen_49,gen_50,gen_51,gen_52,gen_53,gen_54,gen_55,gen_56,gen_57,gen_58,gen_59,gen_60,gen_61,gen_62,gen_63,gen_64,gen_65,gen_66,gen_67,gen_68,gen_69,gen_70,gen_71,gen_72,gen_73,gen_74,gen_75,gen_76,gen_77,gen_78,gen_79,gen_80,gen_81,gen_82,gen_83,gen_84,gen_85,gen_86,gen_87,gen_88,gen_89,gen_90,gen_91,gen_92,gen_93,gen_94,gen_95,gen_96,gen_97,gen_98,gen_99,gen_100
14,0.499925,0.485095,0.469883,0.447707,0.406337,0.347511,0.305667,0.270919,0.248188,0.246141,0.238824,0.237428,0.232855,0.219986,0.202214,0.180964,0.169838,0.161097,0.147121,0.131036,0.122788,0.110412,0.104408,0.100578,0.105626,0.106952,0.107210,0.105590,0.099182,0.099081,0.094622,0.090131,0.090919,0.093556,0.082741,0.079152,0.076554,0.071749,0.072461,0.073887,0.073774,0.069299,0.070459,0.073693,0.069851,0.066768,0.069677,0.068547,0.064659,0.060166,0.053636,0.048463,0.043400,0.044800,0.046194,0.046436,0.045374,0.043434,0.036846,0.033974,0.033091,0.030101,0.030842,0.036838,0.031741,0.031741,0.034984,0.034190,0.035461,0.038889,0.041634,0.041158,0.038721,0.035792,0.038701,0.033438,0.034903,0.032168,0.033111,0.031121,0.034931,0.030329,0.029327,0.027547,0.027931,0.030434,0.032046,0.033032,0.031265,0.035618,0.037881,0.033733,0.035574,0.034842,0.029679,0.028947,0.031598,0.030966,0.035248,0.035709,0.032693
15,0.498943,0.487467,0.472834,0.439248,0.398008,0.379309,0.346172,0.324471,0.315469,0.295628,0.254877,0.233786,0.220406,0.208335,0.186556,0.173663,0.177139,0.178378,0.169830,0.160202,0.163521,0.162869,0.155586,0.137154,0.122657,0.117210,0.119717,0.115063,0.115398,0.111408,0.104566,0.104113,0.101004,0.088719,0.087012,0.085879,0.077240,0.076511,0.074574,0.072319,0.073523,0.076560,0.074481,0.068166,0.064693,0.059576,0.058897,0.051844,0.048133,0.046687,0.050531,0.047594,0.043731,0.042465,0.043790,0.040337,0.045735,0.043859,0.039913,0.037434,0.036293,0.036602,0.034556,0.031010,0.035075,0.033481,0.036242,0.034271,0.035305,0.037873,0.041166,0.038792,0.039418,0.040952,0.040402,0.041638,0.041594,0.035939,0.034333,0.030251,0.031749,0.034036,0.032194,0.033541,0.034246,0.034691,0.033289,0.035424,0.033010,0.034040,0.033848,0.035568,0.036218,0.036194,0.042727,0.042412,0.037541,0.039420,0.041978,0.038517,0.038404
16,0.500271,0.488941,0.473453,0.448422,0.411485,0.372735,0.349717,0.331703,0.318034,0.296442,0.263329,0.248949,0.244576,0.225057,0.212444,0.195412,0.178998,0.161889,0.142905,0.136261,0.131158,0.126422,0.113139,0.106036,0.102618,0.095525,0.097653,0.096671,0.094216,0.095388,0.091412,0.083582,0.090135,0.091147,0.083865,0.081509,0.075836,0.064509,0.059378,0.060093,0.055596,0.051879,0.048764,0.046388,0.046192,0.049978,0.045974,0.043768,0.045509,0.044006,0.039721,0.038497,0.035731,0.039162,0.039596,0.040406,0.039376,0.037842,0.043085,0.038766,0.039644,0.035186,0.037014,0.037606,0.036069,0.036606,0.038931,0.034624,0.037271,0.041339,0.040529,0.033493,0.032400,0.031606,0.034327,0.040887,0.041774,0.041461,0.037873,0.036091,0.035125,0.035590,0.034628,0.034960,0.031549,0.029663,0.028810,0.029002,0.032693,0.037487,0.037822,0.036735,0.036598,0.035277,0.034869,0.027071,0.028838,0.031099,0.030933,0.036176,0.035451
17,0.500206,0.487673,0.458269,0.441966,0.409741,0.328172,0.249784,0.217426,0.243451,0.238887,0.230794,0.215404,0.204113,0.191042,0.194921,0.187998,0.176879,0.169467,0.170473,0.168659,0.158859,0.154091,0.148004,0.131644,0.127166,0.119386,0.117014,0.114939,0.118721,0.113780,0.106820,0.102764,0.093048,0.091804,0.087388,0.081786,0.071301,0.059873,0.056513,0.053869,0.052584,0.052321,0.055463,0.052248,0.048855,0.049186,0.049762,0.049659,0.047685,0.047745,0.050568,0.045251,0.040984,0.042232,0.035582,0.032356,0.033921,0.032289,0.033822,0.035960,0.032752,0.035978,0.037760,0.032525,0.032216,0.033400,0.039640,0.036358,0.040303,0.040222,0.040632,0.042497,0.036600,0.035495,0.039770,0.036560,0.036568,0.039764,0.040651,0.036295,0.038275,0.033665,0.031576,0.031261,0.036158,0.035602,0.032840,0.033780,0.032624,0.037897,0.033745,0.030325,0.031804,0.035297,0.032624,0.031194,0.031725,0.034796,0.040085,0.040438,0.034214
18,0.499220,0.488024,0.468097,0.432172,0.406053,0.389214,0.365374,0.325129,0.289774,0.276162,0.256891,0.237921,0.224242,0.211097,0.210414,0.202554,0.190226,0.179826,0.169527,0.167517,0.153863,0.140954,0.117762,0.116107,0.109863,0.109198,0.105117,0.099941,0.099065,0.095604,0.093840,0.090521,0.093733,0.088440,0.089725,0.094954,0.089517,0.086875,0.081968,0.077863,0.074671,0.071093,0.067699,0.063709,0.060632,0.059719,0.053166,0.049568,0.045380,0.042958,0.042556,0.040600,0.041630,0.042543,0.039133,0.042248,0.038337,0.033220,0.034311,0.033459,0.035388,0.032032,0.028915,0.032170,0.032366,0.035380,0.038430,0.037214,0.034784,0.033210,0.035824,0.037931,0.036347,0.032776,0.034426,0.034796,0.033768,0.037004,0.032337,0.033141,0.030263,0.026683,0.029010,0.030398,0.032578,0.035665,0.031287,0.031408,0.027931,0.029251,0.031451,0.036032,0.039178,0.037495,0.030469,0.030430,0.031681,0.031661,0.029802,0.034436,0.037655
19,0.500626,0.487430,0.455018,0.424446,0.392889,0.366931,0.344925,0.331887,0.302236,0.270362,0.249299,0.240362,0.228345,0.213222,0.202673,0.192358,0.186723,0.174909,0.182519,0.175065,0.168582,0.161564,0.156877,0.148331,0.131861,0.117665,0.112549,0.099640,0.095855,0.090267,0.093487,0.089147,0.084933,0.086812,0.084673,0.087038,0.090705,0.086133,0.085774,0.078582,0.078677,0.073238,0.069937,0.066758,0.062893,0.059440,0.056552,0.052246,0.048485,0.046463,0.043699,0.045596,0.044812,0.044893,0.050065,0.051562,0.049307,0.040962,0.040798,0.041909,0.041814,0.036826,0.037190,0.032521,0.030796,0.034105,0.031158,0.033448,0.037382,0.039386,0.031574,0.029711,0.028994,0.035519,0.037671,0.034446,0.034741,0.039497,0.040453,0.041002,0.040224,0.039893,0.037277,0.039701,0.039982,0.038103,0.040123,0.038844,0.035475,0.034739,0.037794,0.037986,0.035939,0.039109,0.036812,0.035111,0.035867,0.037085,0.035905,0.032703,0.033200
20,0.499713,0.489400,0.465495,0.439077,0.415404,0.377612,0.326857,0.301745,0.285913,0.241564,0.230883,0.203929,0.204885,0.195994,0.180739,0.157347,0.153897,0.149853,0.145255,0.134305,0.132406,0.134158,0.130739,0.128826,0.131091,0.136828,0.140883,0.141913,0.137697,0.127083,0.111059,0.104836,0.101669,0.095816,0.091960,0.085022,0.084271,0.084020,0.087537,0.091824,0.085051,0.084374,0.081941,0.078164,0.073253,0.065212,0.056691,0.050291,0.048596,0.046230,0.047343,0.045339,0.044881,0.040121,0.038574,0.037778,0.033802,0.034000,0.032624,0.036699,0.032572,0.033808,0.031149,0.036507,0.035459,0.034695,0.034442,0.036871,0.039125,0.042232,0.040402,0.038545,0.039024,0.043618,0.039475,0.035582,0.040101,0.037434,0.036204,0.032556,0.033196,0.037689,0.040525,0.038988,0.036673,0.033301,0.031469,0.033887,0.033404,0.037600,0.040424,0.040960,0.037529,0.037222,0.037200,0.032366,0.025568,0.031002,0.028483,0.029497,0.028002
21,0.500194,0.487634,0.467642,0.454382,0.438190,0.424000,0.396533,0.372943,0.364364,0.355127,0.330063,0.309731,0.294600,0.271059,0.264400,0.255834,0.240485,0.229968,0.225814,0.212028,0.190297,0.175388,0.172594,0.160521,0.146828,0.135091,0.124919,0.116032,0.099089,0.093903,0.087265,0.083418,0.082970,0.085147,0.076012,0.069491,0.068937,0.067560,0.066792,0.066253,0.058665,0.055838,0.056370,0.054242,0.055479,0.052935,0.045428,0.045309,0.044438,0.042032,0.039481,0.042707,0.044952,0.041701,0.035394,0.037970,0.039093,0.038614,0.035887,0.037832,0.041257,0.037404,0.034580,0.034723,0.029598,0.028632,0.028543,0.030410,0.034836,0.034804,0.033535,0.033657,0.034293,0.036269,0.037459,0.036788,0.036448,0.033299,0.032297,0.036319,0.033123,0.038952,0.033554,0.032921,0.033006,0.033717,0.035651,0.035762,0.033859,0.028426,0.029438,0.031349,0.030826,0.027915,0.031798,0.032325,0.027271,0.031105,0.026543,0.025915,0.027608
22,0.501840,0.492285,0.474903,0.450162,0.420667,0.398111,0.365531,0.319539,0.298073,0.282212,0.257622,0.244735,0.203770,0.158416,0.150160,0.140568,0.143321,0.148386,0.152178,0.153877,0.151929,0.141220,0.133925,0.126741,0.116745,0.114109,0.117196,0.102380,0.103855,0.094535,0.085240,0.087766,0.092760,0.098661,0.098638,0.092384,0.092313,0.089471,0.086824,0.080103,0.082786,0.079610,0.074679,0.070780,0.066588,0.062184,0.053644,0.057832,0.059545,0.055826,0.049661,0.049141,0.045784,0.044085,0.041893,0.041147,0.041869,0.042420,0.042277,0.038261,0.036317,0.036010,0.038899,0.038143,0.035026,0.035057,0.031109,0.035786,0.038838,0.035113,0.034329,0.037372,0.033903,0.034572,0.032996,0.033863,0.029758,0.030642,0.035707,0.033133,0.032737,0.030117,0.029075,0.031222,0.030875,0.030741,0.031630,0.031782,0.029471,0.034533,0.033489,0.040103,0.038798,0.039307,0.041115,0.034602,0.035222,0.033580,0.031172,0.034675,0.035414
23,0.496590,0.483400,0.463242,0.434814,0.383206,0.324263,0.289727,0.261671,0.215400,0.187877,0.187558,0.171574,0.162851,0.172893,0.174960,0.159499,0.130703,0.131949,0.130396,0.131048,0.130129,0.128434,0.129331,0.124596,0.119913,0.110424,0.109871,0.108242,0.100162,0.093939,0.089877,0.087673,0.075897,0.072596,0.074612,0.064071,0.064299,0.067802,0.063046,0.062681,0.060376,0.054693,0.049923,0.050806,0.048208,0.051022,0.047616,0.044820,0.037240,0.035036,0.037772,0.039275,0.039246,0.032428,0.039782,0.036760,0.033347,0.035051,0.033206,0.032549,0.036600,0.033246,0.038505,0.036475,0.034404,0.036527,0.039798,0.038451,0.037756,0.037170,0.037501,0.034752,0.035079,0.033818,0.039766,0.035851,0.036457,0.036422,0.033293,0.029358,0.033030,0.031980,0.031705,0.036636,0.036665,0.042808,0.042620,0.041477,0.034434,0.033984,0.031840,0.030121,0.034297,0.031574,0.033232,0.033444,0.028663,0.029038,0.034935,0.039145,0.040293
24,0.500012,0.487111,0.461812,0.432899,0.379533,0.326404,0.304933,0.276578,0.237105,0.208018,0.193354,0.192616,0.199877,0.190416,0.188842,0.183976,0.183293,0.175968,0.167982,0.151182,0.151503,0.141600,0.131224,0.127634,0.122707,0.120592,0.117818,0.112521,0.110879,0.111691,0.110943,0.108083,0.102143,0.101190,0.095105,0.090786,0.092038,0.092158,0.087899,0.081224,0.078101,0.075830,0.075709,0.072255,0.075077,0.081685,0.081788,0.079362,0.070600,0.067186,0.062295,0.058945,0.051376,0.045368,0.043307,0.044899,0.042519,0.042160,0.040727,0.042343,0.038291,0.041519,0.039616,0.041325,0.039869,0.035543,0.037905,0.033006,0.031273,0.031014,0.032024,0.031085,0.031917,0.035356,0.040010,0.035834,0.041160,0.040358,0.039620,0.044042,0.039818,0.036677,0.038949,0.040630,0.039873,0.040610,0.037865,0.038244,0.036802,0.038554,0.038115,0.032648,0.042166,0.040770,0.038303,0.042073,0.044131,0.043923,0.045081,0.043432,0.045420
25,0.500772,0.490139,0.465699,0.437628,0.394673,0.357657,0.332956,0.312584,0.299275,0.279901,0.258743,0.232596,0.217659,0.210067,0.204622,0.199543,0.190469,0.173564,0.170958,0.165543,0.157919,0.138410,0.111176,0.108119,0.106735,0.109519,0.117299,0.113780,0.113133,0.110897,0.108240,0.103008,0.095646,0.090440,0.086558,0.084295,0.086485,0.085685,0.077873,0.075588,0.073406,0.072410,0.064012,0.060927,0.054711,0.049735,0.042149,0.040117,0.040287,0.034463,0.033075,0.031697,0.031947,0.034861,0.035499,0.038630,0.037651,0.043772,0.041996,0.040655,0.042154,0.043119,0.043321,0.037743,0.037202,0.039299,0.038659,0.038285,0.042788,0.042002,0.043042,0.040107,0.037582,0.034988,0.034772,0.038212,0.040020,0.039614,0.041778,0.039269,0.041673,0.040329,0.040606,0.042085,0.042614,0.044604,0.041887,0.040246,0.042648,0.034356,0.031198,0.032626,0.027911,0.029818,0.028471,0.029689,0.025956,0.030166,0.030269,0.029374,0.029137
26,0.499396,0.484085,0.453077,0.415941,0.354937,0.320121,0.307737,0.274261,0.260398,0.257315,0.252531,0.247921,0.241978,0.224988,0.205402,0.188958,0.181943,0.173608,0.157119,0.152632,0.143723,0.145974,0.145691,0.137707,0.137564,0.129869,0.124335,0.124754,0.124246,0.121574,0.125061,0.124154,0.120871,0.105737,0.097004,0.084808,0.081747,0.081919,0.080240,0.080061,0.076659,0.073749,0.075335,0.075299,0.070802,0.065483,0.058341,0.049139,0.050036,0.050234,0.052760,0.051590,0.050000,0.048067,0.045388,0.043590,0.039776,0.045547,0.043634,0.034655,0.036824,0.042166,0.038830,0.036396,0.031293,0.031370,0.030277,0.031640,0.032364,0.036331,0.038653,0.042030,0.038089,0.038457,0.037554,0.033339,0.037000,0.035927,0.033596,0.035970,0.036790,0.041424,0.043588,0.044717,0.038374,0.037004,0.036855,0.038099,0.033956,0.038095,0.033121,0.030838,0.031800,0.034780,0.037481,0.041978,0.030202,0.029598,0.030434,0.027507,0.032313
27,0.498917,0.485152,0.453659,0.429608,0.403113,0.365527,0.347691,0.327566,0.303935,0.291529,0.274780,0.250139,0.225996,0.203897,0.184939,0.185943,0.176117,0.169216,0.156747,0.148529,0.143657,0.138580,0.133929,0.133604,0.130228,0.120265,0.118598,0.119152,0.113669,0.107552,0.110285,0.106020,0.102861,0.100634,0.094006,0.088505,0.086691,0.077756,0.074455,0.066719,0.064568,0.063640,0.060867,0.058453,0.054871,0.057317,0.054515,0.053323,0.045582,0.046699,0.043812,0.045331,0.042646,0.037246,0.039392,0.037590,0.040400,0.041648,0.035347,0.032558,0.029234,0.030509,0.035428,0.040261,0.042095,0.042945,0.037877,0.038038,0.044960,0.045511,0.045875,0.041747,0.039216,0.041004,0.036762,0.039871,0.042091,0.038238,0.034838,0.035216,0.036586,0.038990,0.038618,0.039109,0.038358,0.038608,0.037711,0.038861,0.036139,0.029840,0.027404,0.029398,0.035317,0.037935,0.035547,0.036834,0.036582,0.042558,0.040729,0.039479,0.041820
28,0.499768,0.485503,0.464162,0.442428,0.411986,0.408614,0.382828,0.348105,0.306952,0.277749,0.253396,0.237764,0.227242,0.219000,0.204786,0.195960,0.182952,0.171964,0.161196,0.156497,0.161285,0.162166,0.151006,0.144909,0.136917,0.131198,0.126727,0.115156,0.110903,0.101943,0.096402,0.090465,0.082152,0.082604,0.081764,0.085794,0.084887,0.082792,0.082182,0.079418,0.080459,0.075634,0.065319,0.061149,0.060570,0.059166,0.054063,0.051481,0.047004,0.045974,0.041887,0.044046,0.042840,0.039398,0.040812,0.040442,0.045865,0.046036,0.040281,0.036836,0.034444,0.037669,0.038507,0.039909,0.036463,0.034952,0.036507,0.036568,0.033372,0.036198,0.032123,0.034935,0.034808,0.035531,0.035790,0.032941,0.034028,0.031721,0.032606,0.036964,0.037572,0.036772,0.034145,0.034279,0.035471,0.035891,0.031200,0.034408,0.037723,0.036844,0.042111,0.040964,0.035568,0.032533,0.031865,0.031851,0.034808,0.037034,0.039935,0.041121,0.038182
29,0.498291,0.478242,0.458525,0.437899,0.405535,0.368984,0.338301,0.304277,0.256923,0.214117,0.189739,0.190337,0.191048,0.186943,0.190032,0.189580,0.174766,0.156204,0.149857,0.149501,0.149394,0.141618,0.134665,0.118521,0.117758,0.119905,0.118210,0.115711,0.103653,0.097178,0.102170,0.099685,0.098444,0.096206,0.080451,0.073663,0.071422,0.075343,0.068014,0.066808,0.065240,0.064598,0.065689,0.065426,0.067283,0.059772,0.054885,0.052802,0.052317,0.050125,0.050032,0.045566,0.044335,0.047772,0.044392,0.042812,0.039232,0.043004,0.033679,0.034032,0.036154,0.036162,0.035125,0.036578,0.033887,0.032057,0.032721,0.032737,0.034212,0.033776,0.035143,0.036511,0.038325,0.036075,0.031032,0.031661,0.028067,0.031517,0.029497,0.031925,0.031018,0.029418,0.028186,0.027251,0.029364,0.030115,0.031349,0.029798,0.028087,0.030945,0.033392,0.033107,0.033048,0.029927,0.031442,0.031802,0.033996,0.033592,0.035832,0.032012,0.037063
